activity_identifier,org_ref,org_name,org_type,role,activity_id,crs_channel_code
US-GOV-1-720201450587,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201450587,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201450587,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201450587,,"Synergos Institute, Inc.",22,4,,
US-GOV-1-720201450588,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201450588,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201450588,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201450588,,"Synergos Institute, Inc.",22,4,,
US-GOV-1-720201550270,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201550270,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201550270,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201550270,US-GOV-20,U.S. Government - Department of Energy,10,4,,
US-GOV-1-720201550411,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201550411,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201550411,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201550411,,Personal Services Contractors - USAID,70,4,,
US-GOV-1-720201550435,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201550435,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201550435,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201550435,US-EIN-52-2145827,"Chemonics International, Inc.",70,4,,
US-GOV-1-720201550498,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201550498,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201550498,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201550498,,"Tetra Tech, Inc.",70,4,,
US-GOV-1-720201550587,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201550587,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201550587,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201550587,,"Synergos Institute, Inc.",22,4,,
US-GOV-1-720201555028,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201555028,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201555028,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201555028,,"Development & Training Services, Inc.",70,4,,
US-GOV-1-720201555051,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201555051,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201555051,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201555051,US-GOV-32,U.S. Government - Environmental Protection Agency,10,4,,
US-GOV-1-720201650587,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201650587,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201650587,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201650587,,"Synergos Institute, Inc.",22,4,,
US-GOV-1-720201758483,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201758483,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201758483,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201758483,,Swisscontact,23,4,,
US-GOV-1-720201850266,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201850266,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201850266,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201850266,US-GOV-9,U.S. Government - Department of Interior,10,4,,
US-GOV-1-720201858483,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201858483,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201858483,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201858483,,Swisscontact,23,4,,
US-GOV-1-720201860688,US-GOV-11,Department of State,10,1,,
US-GOV-1-720201860688,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201860688,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201860688,,"Integra, LLC",70,4,,
US-GOV-1-720201954926,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201954926,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201954926,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201954926,,"International Development Group, LLC",70,4,,
US-GOV-1-720201958483,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201958483,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201958483,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201958483,,Swisscontact,23,4,,
US-GOV-1-720201960850,US-GOV-11,Department of State,10,1,,
US-GOV-1-720201960850,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201960850,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201960850,,"Integra, LLC",70,4,,
US-GOV-1-720201962309,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720201962309,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720201962309,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720201962309,,Swisscontact,23,4,,
US-GOV-1-720202050284,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720202050284,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720202050284,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720202050284,US-GOV-9,U.S. Government - Department of Interior,10,4,,
US-GOV-1-720202059146,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720202059146,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720202059146,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720202059146,,Swisscontact,23,4,,
US-GOV-1-720202159602,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720202159602,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720202159602,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720202159602,,Swisscontact,23,4,,
US-GOV-1-720202163948,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720202163948,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720202163948,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720202163948,,Swisscontact,23,4,,
US-GOV-1-720202250571,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720202250571,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720202250571,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720202250571,XM-DAC-63000,SWISSCONTACT,70,4,,
US-GOV-1-720202363844,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720202363844,US-GOV-1,U.S. Agency for International Development,10,2,,
US-GOV-1-720202363844,US-GOV-1,U.S. Agency for International Development,10,3,,
US-GOV-1-720202363844,,Swisscontact,23,4,,
US-GOV-1-720ASA21H00001,US-GOV-1,U.S. Agency for International Development,10,1,,
US-GOV-1-720ASA21H00001,US-GOV-1,U.S. Agency for International Development,10,2,,
