organisation_identifier,budget_kind,budget_status,period_start,period_end,value,currency,value_date,recipient_org_ref,recipient_org_type,recipient_org_name,recipient_country_code,recipient_region_code,recipient_region_vocabulary
44002,recipient-country-budget,1,2025-01-01,2025-12-31,409618912,USD,2025-01-01,,,,KH,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,417811290,USD,2026-01-01,,,,KH,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,426167516,USD,2027-01-01,,,,KH,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,17883652,USD,2024-01-01,,,,KI,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,18241325,USD,2025-01-01,,,,KI,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,18606152,USD,2026-01-01,,,,KI,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,18978275,USD,2027-01-01,,,,KI,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,66623382,USD,2024-01-01,,,,KM,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,67955849,USD,2025-01-01,,,,KM,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,69314966,USD,2026-01-01,,,,KM,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,70701266,USD,2027-01-01,,,,KM,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,107935288,USD,2024-01-01,,,,LA,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,110093994,USD,2025-01-01,,,,LA,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,112295874,USD,2026-01-01,,,,LA,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,114541791,USD,2027-01-01,,,,LA,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,18625252,USD,2024-01-01,,,,LC,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,18997757,USD,2025-01-01,,,,LC,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,19377712,USD,2026-01-01,,,,LC,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,19765266,USD,2027-01-01,,,,LC,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,758431142,USD,2024-01-01,,,,LK,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,773599765,USD,2025-01-01,,,,LK,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,789071761,USD,2026-01-01,,,,LK,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,804853196,USD,2027-01-01,,,,LK,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,169320475,USD,2024-01-01,,,,LR,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,172706885,USD,2025-01-01,,,,LR,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,176161023,USD,2026-01-01,,,,LR,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,179684243,USD,2027-01-01,,,,LR,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,43508194,USD,2024-01-01,,,,LS,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,44378358,USD,2025-01-01,,,,LS,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,45265925,USD,2026-01-01,,,,LS,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,46171244,USD,2027-01-01,,,,LS,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,538502583,USD,2024-01-01,,,,MG,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,549272635,USD,2025-01-01,,,,MG,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,560258087,USD,2026-01-01,,,,MG,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,571463249,USD,2027-01-01,,,,MG,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,20084659,USD,2024-01-01,,,,MH,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,20486353,USD,2025-01-01,,,,MH,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,20896080,USD,2026-01-01,,,,MH,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,21314001,USD,2027-01-01,,,,MH,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,288188203,USD,2024-01-01,,,,ML,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,293951967,USD,2025-01-01,,,,ML,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,299831006,USD,2026-01-01,,,,ML,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,305827626,USD,2027-01-01,,,,ML,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,22325650,USD,2026-01-01,,,,MM,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,33488475,USD,2027-01-01,,,,MM,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,146166077,USD,2024-01-01,,,,MR,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,149089398,USD,2025-01-01,,,,MR,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,152071186,USD,2026-01-01,,,,MR,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,155112610,USD,2027-01-01,,,,MR,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,20191046,USD,2024-01-01,,,,MV,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,20594866,USD,2025-01-01,,,,MV,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,21006764,USD,2026-01-01,,,,MV,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,21426899,USD,2027-01-01,,,,MV,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,632077674,USD,2024-01-01,,,,MW,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,644719227,USD,2025-01-01,,,,MW,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,657613612,USD,2026-01-01,,,,MW,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,670765884,USD,2027-01-01,,,,MW,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,1082054000,USD,2024-01-01,,,,MZ,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,1103695080,USD,2025-01-01,,,,MZ,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,1125768982,USD,2026-01-01,,,,MZ,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,1148284361,USD,2027-01-01,,,,MZ,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,239089943,USD,2024-01-01,,,,NE,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,243871742,USD,2025-01-01,,,,NE,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,248749177,USD,2026-01-01,,,,NE,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,253724160,USD,2027-01-01,,,,NE,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,1908234808,USD,2024-01-01,,,,NG,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,1946399504,USD,2025-01-01,,,,NG,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,1985327494,USD,2026-01-01,,,,NG,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,2025034044,USD,2027-01-01,,,,NG,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,48672910,USD,2024-01-01,,,,NI,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,49646368,USD,2025-01-01,,,,NI,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,50639295,USD,2026-01-01,,,,NI,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,51652081,USD,2027-01-01,,,,NI,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,274829271,USD,2024-01-01,,,,NP,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,280325857,USD,2025-01-01,,,,NP,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,285932374,USD,2026-01-01,,,,NP,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,291651021,USD,2027-01-01,,,,NP,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,36797962,USD,2024-01-01,,,,PG,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,37533921,USD,2025-01-01,,,,PG,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,38284600,USD,2026-01-01,,,,PG,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,39050292,USD,2027-01-01,,,,PG,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,2600513848,USD,2024-01-01,,,,PK,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,2652524125,USD,2025-01-01,,,,PK,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,2705574608,USD,2026-01-01,,,,PK,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,2759686100,USD,2027-01-01,,,,PK,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,670391892,USD,2024-01-01,,,,RW,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,683799730,USD,2025-01-01,,,,RW,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,697475724,USD,2026-01-01,,,,RW,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,711425239,USD,2027-01-01,,,,RW,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,619201799,USD,2024-01-01,,,,YE,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,631585835,USD,2025-01-01,,,,YE,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,644217551,USD,2026-01-01,,,,YE,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,657101902,USD,2027-01-01,,,,YE,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,55859675,USD,2024-01-01,,,,SB,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,56976869,USD,2025-01-01,,,,SB,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,58116406,USD,2026-01-01,,,,SB,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,59278734,USD,2027-01-01,,,,SB,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,0,USD,2024-01-01,,,,SD,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,0,USD,2025-01-01,,,,SD,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,0,USD,2026-01-01,,,,SD,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,0,USD,2027-01-01,,,,SD,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,192336186,USD,2024-01-01,,,,SL,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,196182910,USD,2025-01-01,,,,SL,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,200106568,USD,2026-01-01,,,,SL,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,204108700,USD,2027-01-01,,,,SL,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,707560894,USD,2024-01-01,,,,SN,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,721712112,USD,2025-01-01,,,,SN,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,736146354,USD,2026-01-01,,,,SN,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,750869281,USD,2027-01-01,,,,SN,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,382245993,USD,2024-01-01,,,,SO,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,389890913,USD,2025-01-01,,,,SO,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,397688731,USD,2026-01-01,,,,SO,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,405642506,USD,2027-01-01,,,,SO,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,170103546,USD,2024-01-01,,,,SS,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,173505617,USD,2025-01-01,,,,SS,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,176975729,USD,2026-01-01,,,,SS,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,180515244,USD,2027-01-01,,,,SS,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,36242936,USD,2024-01-01,,,,ST,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,36967794,USD,2025-01-01,,,,ST,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,37707150,USD,2026-01-01,,,,ST,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,38461293,USD,2027-01-01,,,,ST,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,219138525,USD,2024-01-01,,,,TD,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,223521295,USD,2025-01-01,,,,TD,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,227991721,USD,2026-01-01,,,,TD,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,232551556,USD,2027-01-01,,,,TD,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,304118514,USD,2024-01-01,,,,TG,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,310200884,USD,2025-01-01,,,,TG,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,316404902,USD,2026-01-01,,,,TG,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,322733000,USD,2027-01-01,,,,TG,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,269175186,USD,2024-01-01,,,,TJ,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,274558689,USD,2025-01-01,,,,TJ,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,280049863,USD,2026-01-01,,,,TJ,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,285650860,USD,2027-01-01,,,,TJ,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,15809651,USD,2024-01-01,,,,TO,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,16125844,USD,2025-01-01,,,,TO,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,16448361,USD,2026-01-01,,,,TO,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,16777329,USD,2027-01-01,,,,TO,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,4962633,USD,2024-01-01,,,,TL,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,5061886,USD,2025-01-01,,,,TL,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,5163123,USD,2026-01-01,,,,TL,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,5266386,USD,2027-01-01,,,,TL,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,11752211,USD,2024-01-01,,,,TV,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,11987255,USD,2025-01-01,,,,TV,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,12227000,USD,2026-01-01,,,,TV,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,12471540,USD,2027-01-01,,,,TV,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,1886161543,USD,2024-01-01,,,,TZ,,
44002,recipient-country-budget,1,2025-01-01,2025-12-31,1923884774,USD,2025-01-01,,,,TZ,,
44002,recipient-country-budget,1,2026-01-01,2026-12-31,1962362470,USD,2026-01-01,,,,TZ,,
44002,recipient-country-budget,1,2027-01-01,2027-12-31,2001609719,USD,2027-01-01,,,,TZ,,
44002,recipient-country-budget,1,2024-01-01,2024-12-31,353587111,USD,2024-01-01,,,,UG,,
