activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-46008-cfa008680,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011744,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010784,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011411,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010938,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008550,10,Tecnologías de la información y la comunicación,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008700,10,Tecnologías de la información y la comunicación,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012279,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008313,5,Energía e industrias extractivas,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003476,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012339,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012700,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012373,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011501,10,Tecnologías de la información y la comunicación,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa008390,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012016,9,Sector financiero,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010059,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011342,3,"Agua, saneamiento, preservación de recursos hídricos y gestión de residuos",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa012391,4,"Educación, cultura y deporte",99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011022,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa011408,11,Transporte,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfa010099,7,Protección y servicios sociales,99,https://www.caf.com/sectores-iati,
XM-DAC-46008-cfl0000003069,9,Sector financiero,99,https://www.caf.com/sectores-iati,
