activity_identifier,url,format,title,title_lang,description,description_lang,category_code,language_code,document_date
XM-DAC-46008-cfa008945,https://www.caf.com/es/proyectos/cfa008945-programa-de-infraestructura-universitaria-ii-fase-b,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012160,https://www.caf.com/es/proyectos/cfa012160-programa-de-mejora-de-la-seguridad-y-confiabilidad-del-servicio-ferroviario-en-la-region-metropolitana-de-buenos-aires,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012564,https://www.caf.com/es/proyectos/cfa012564-expansion-y-desarrollo-de-la-red-de-ferrocarriles-en-chile,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003442,https://www.caf.com/es/proyectos/cfl0000003442-davivienda-panama,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011677,https://www.caf.com/es/proyectos/cfa011677-programa-de-inclusion-digital-y-transformacion-educativa-“santa-fe-plus-conectada,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012704,https://www.caf.com/es/proyectos/cfa012704-programa-vial-4-rehabilitacion-mejoramiento-y-mantenimiento-de-la-ruta-nacional-py22-tramo-concepcion-vallemi-san-lazaro-y-accesos,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012206,https://www.caf.com/es/proyectos/cfa012206-proyecto-centro-de-investigacion-y-produccion-en-ambiente-controlado-cipac,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa009731,https://www.caf.com/es/proyectos/cfa009731-darby-latin-american-debt-fund-iii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011994,https://www.caf.com/es/proyectos/cfa011994-proyecto-construccion-carretera-doble-via-oruro-challapata-tramo-i-oruro-cruce-vinto-cruce-huanuni,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012050,https://www.caf.com/es/proyectos/cfa012050-puentes-de-integracion-i,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003477,https://www.caf.com/es/proyectos/cfl0000003477-agencia-de-fomento-parana-sa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011063,https://www.caf.com/es/proyectos/cfa011063-programa-sanear-santo-andre,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa009757,https://www.caf.com/es/proyectos/cfa009757-programa-mas-inversion-para-el-riego-ii-mejora-del-riego-tradicional-y-tecnificado-miriego-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa010713,https://www.caf.com/es/proyectos/cfa010713-programa-panama-bilingue,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa009204,https://www.caf.com/es/proyectos/cfa009204-proyecto-de-construccion-modernizacion-y-optimizacion-de-la-infraestructura-de-los-sistemas-de-abastecimiento-de-agua-potable-a-nivel-nacional,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012275,https://www.caf.com/es/proyectos/cfa012275-nueva-sede-universitaria-de-paysandu,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011459,https://www.caf.com/es/proyectos/cfa011459-programa-de-mejoramiento-de-la-conectividad-vial-territorial-del-neuquen,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000003412,https://www.caf.com/es/proyectos/cfl0000003412-santander-chile,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011191,https://www.caf.com/es/proyectos/cfa011191-programa-federal-de-infraestructura-regional,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011189,https://www.caf.com/es/proyectos/cfa011189-proyecto-construccion-acueducto-rio-colorado-bahia-blanca-etapa-ii,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa008748,https://www.caf.com/es/proyectos/cfa008748-financiera-de-desarrollo-nacional,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa007990,https://www.caf.com/es/proyectos/cfa007990-glisco-partners-iii-lp,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfl0000002469,https://www.caf.com/es/proyectos/cfl0000002469-bancop- banco-para-la-comercializacion-y-la-produccion-sa,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa011827,https://www.caf.com/es/proyectos/cfa011827-programa-de-infraestructura-desarrollo-economico-y-socioambiental-del-municipio-de-itapipoca,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
XM-DAC-46008-cfa012093,https://www.caf.com/es/proyectos/cfa012093-programa-de-realojo-del-asentamiento-kennedy,text/html,Ficha del proyecto,,Página web con información del proyecto,,A12,es,
