activity_identifier,result_ref,result_type,aggregation_status,title,description
XM-DAC-46007-500940,result_1,1,1,Efectos,
XM-DAC-46007-500995,result_1,1,1,Efectos,
XM-DAC-46007-500995,result_2,1,1,Salud,
XM-DAC-46007-501078,result_1,1,1,Efectos,
XM-DAC-46007-501078,result_2,1,1,Víal,
XM-DAC-46007-501079,result_1,1,1,Efectos,
XM-DAC-46007-501079,result_2,1,1,Financiero,
XM-DAC-46007-501108,result_1,1,1,Efectos,
XM-DAC-46007-501108,result_2,1,1,Víal,
XM-DAC-46007-501114,result_1,1,1,Efectos,
XM-DAC-46007-501114,result_2,1,1,Víal,
XM-DAC-46007-501128,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-501128,result_2,1,1,Efectos,
XM-DAC-46007-501138,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-501138,result_2,1,1,Efectos,
XM-DAC-46007-501138,result_3,1,1,Víal,
XM-DAC-46007-501140,result_1,1,1,Efectos,
XM-DAC-46007-501140,result_2,1,1,Energía,
XM-DAC-46007-501142,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-501142,result_2,1,1,Efectos,
XM-DAC-46007-501148,result_1,1,1,Efectos,
XM-DAC-46007-501149,result_1,1,1,Educación,
XM-DAC-46007-501149,result_2,1,1,Efectos,
XM-DAC-46007-501151,result_1,1,1,Efectos,
XM-DAC-46007-501151,result_2,1,1,Energía,
XM-DAC-46007-501159,result_1,1,1,Efectos,
XM-DAC-46007-501159,result_2,1,1,Víal,
XM-DAC-46007-501162,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-501162,result_2,1,1,Efectos,
XM-DAC-46007-501187,result_1,1,1,Efectos,
XM-DAC-46007-501187,result_2,1,1,Salud,
XM-DAC-46007-501217,result_1,1,1,Agua y Sanemiento,
XM-DAC-46007-501217,result_2,1,1,Efectos,
XM-DAC-46007-501217,result_3,1,1,Víal,
XM-DAC-46007-501218,result_1,1,1,Efectos,
XM-DAC-46007-501218,result_2,1,1,Víal,
XM-DAC-46007-501226,result_1,1,1,Efectos,
XM-DAC-46007-501226,result_2,1,1,Energía,
XM-DAC-46007-501227,result_1,1,1,OPD,
XM-DAC-46007-501238,result_1,1,1,Efectos,
XM-DAC-46007-501239,result_1,1,1,Efectos,
XM-DAC-46007-501243,result_1,1,1,Efectos,
XM-DAC-46007-501243,result_2,1,1,Víal,
XM-DAC-46007-501247,result_1,1,1,Efectos,
XM-DAC-46007-501247,result_2,1,1,Turismo,
