activity_identifier,result_ref,indicator_ref,indicator_measure,ascending,aggregation_status,title,description,baseline_year,baseline_iso_date,baseline_value,baseline_comment
XM-DAC-46007-501226,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2025,,2096067
XM-DAC-46007-501159,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2024,,0
XM-DAC-46007-500627,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2021,,5
XM-DAC-46007-500316,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2017,,21404
XM-DAC-46007-500930,result_2,result_2_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2023,,0
XM-DAC-46007-501151,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2024,,0
XM-DAC-46007-501187,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2025,,1191901.86
XM-DAC-46007-500705,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2021,,0
XM-DAC-46007-501128,result_2,result_2_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2024,,0
XM-DAC-46007-500349,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2018,,58549
XM-DAC-46007-500791,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2021,,0
XM-DAC-46007-500192,result_1,result_1_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,,0
XM-DAC-46007-500451,result_2,result_2_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2019,,3965617
XM-DAC-46007-500349,result_1,result_1_25,1,1,,Efectos,Empleos temporales,Cantidad de personas con contrato temporal  empleadas directamente en la ejecución y/o en la operación del proyecto.,2018,,131
XM-DAC-46007-500213,result_2,result_2_24,1,1,,Efectos,Empleos fijos,Cantidad de personas con contrato de tiempo indefinido empleadas directamente en la operación del proyecto.,2016,,140
XM-DAC-46007-500626,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2020,,0
XM-DAC-46007-501079,result_1,result_1_28,1,1,,Efectos,Beneficiarios,"Número de personas, empresas, organizaciones  beneficiadas directamente de los programas, proyectos y servicios financieros facilitados por el Banco.",2023,,0
