activity_identifier,result_ref,indicator_ref,period_start,period_end,target_value,target_comment,actual_value,actual_comment
XM-DAC-46007-500426,result_1,result_1_8,2024-06-30,2025-06-01,1672,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,4,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500705,result_1,result_1_27,2024-06-30,2025-06-01,3403,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500271,result_2,result_2_14,2024-06-30,2025-06-01,11195.53,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501078,result_1,result_1_25,2024-06-30,2025-06-01,5651,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501218,result_2,result_2_2,2024-06-30,2025-06-01,2.57,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500901,result_5,result_5_19,2024-06-30,2025-06-01,1736,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500349,result_1,result_1_24,2024-06-30,2025-06-01,391,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,2039,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500451,result_3,result_3_11,2024-06-30,2025-06-01,0,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500901,result_1,result_1_6,2024-06-30,2025-06-01,1736,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501187,result_2,result_2_12,2024-06-30,2025-06-01,73985,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501138,result_3,result_3_17,2024-06-30,2025-06-01,8,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501140,result_2,result_2_5,2024-06-30,2025-06-01,500.6,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500901,result_4,result_4_4,2024-06-30,2025-06-01,1736,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500818,result_1,result_1_28,2024-06-30,2025-06-01,696615,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500995,result_2,result_2_13,2024-06-30,2025-06-01,2,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501128,result_1,result_1_7,2024-06-30,2025-06-01,8167,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500357,result_2,result_2_1,2024-06-30,2025-06-01,8.16,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500818,result_1,result_1_26,2024-06-30,2025-06-01,11,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500446,result_1,result_1_8,2024-06-30,2025-06-01,1372,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,177,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302302,result_1,result_1_27,2024-06-30,2025-06-01,4,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500701,result_2,result_2_14,2024-06-30,2025-06-01,38789.25,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501226,result_1,result_1_25,2024-06-30,2025-06-01,1200,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500451,result_1,result_1_10,2024-06-30,2025-06-01,2,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500640,result_1,result_1_24,2024-06-30,2025-06-01,12,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500270,result_2,result_2_11,2024-06-30,2025-06-01,1040,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501142,result_1,result_1_6,2024-06-30,2025-06-01,32053,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500192,result_2,result_2_12,2024-06-30,2025-06-01,23573,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501078,result_2,result_2_17,2024-06-30,2025-06-01,73,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501226,result_2,result_2_5,2024-06-30,2025-06-01,121.74,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500248,result_2,result_2_4,2024-06-30,2025-06-01,99309,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302411,result_2,result_2_28,2024-06-30,2025-06-01,72885,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,34504,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500459,result_2,result_2_13,2024-06-30,2025-06-01,11,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500022,result_1,result_1_7,2024-06-30,2025-06-01,35000,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500749,result_2,result_2_1,2024-06-30,2025-06-01,58.57,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501142,result_2,result_2_26,2024-06-30,2025-06-01,8,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302411,result_2,result_2_27,2024-06-30,2025-06-01,1985,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500192,result_2,result_2_14,2024-06-30,2025-06-01,4789,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,2688.09,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302411,result_2,result_2_25,2024-06-30,2025-06-01,5670,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,619,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501149,result_1,result_1_10,2024-06-30,2025-06-01,2,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500035,result_1,result_1_24,2024-06-30,2025-06-01,22,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501187,result_2,result_2_11,2024-06-30,2025-06-01,517,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302411,result_1,result_1_6,2024-06-30,2025-06-01,4869,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,7423,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500270,result_2,result_2_12,2024-06-30,2025-06-01,79475,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500860,result_2,result_2_17,2024-06-30,2025-06-01,4,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501151,result_2,result_2_5,2024-06-30,2025-06-01,2,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501151,result_1,result_1_28,2024-06-30,2025-06-01,2049990,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500645,result_1,result_1_7,2024-06-30,2025-06-01,977,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501114,result_2,result_2_1,2024-06-30,2025-06-01,15.97,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500507,result_2,result_2_26,2024-06-30,2025-06-01,3,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500436,result_1,result_1_27,2024-06-30,2025-06-01,722,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500276,result_2,result_2_25,2024-06-30,2025-06-01,307,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500446,result_1,result_1_10,2024-06-30,2025-06-01,141,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,38,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500248,result_1,result_1_24,2024-06-30,2025-06-01,674,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-302441,result_2,result_2_11,2024-06-30,2025-06-01,207,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500429,result_1,result_1_6,2024-06-30,2025-06-01,5443,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,11999,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500459,result_2,result_2_12,2024-06-30,2025-06-01,120948.87,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-501243,result_2,result_2_17,2024-06-30,2025-06-01,7,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500271,result_1,result_1_28,2024-06-30,2025-06-01,40000,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500208,result_1,result_1_7,2024-06-30,2025-06-01,6270,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,0,El valor actual es el valor medido en el periodo actual
XM-DAC-46007-500422,result_2,result_2_1,2024-06-30,2025-06-01,33.58,Los valores meta son estimadas cuando se aprobó la operación/actividad por lo que pueden diferir de los resultados finales obtenidos,20.7,El valor actual es el valor medido en el periodo actual
