activity_identifier,location_ref,location_reach,location_id_vocabulary,location_id_code,name,name_lang,description,description_lang,activity_description,activity_description_lang,latitude,longitude,exactness,location_class,feature_designation,administrative_vocabulary,administrative_level,administrative_code,administrative_country
XI-IATI-IADB-AR-L1352,,,G1,,"Argentina, AV. PASEO COLON 982, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.619140007821,",-58.368450029925,,,,G1,1,7,
XI-IATI-IADB-AR-L1352,,,G1,,"Argentina, SAN MART ?N 459, PISO 1, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.602630005499,",-58.373840012762,,,,G1,1,7,
XI-IATI-IADB-AR-L1352,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 5, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1331,,,G1,,"Argentina, AV 9 DE JULIO 1925 PISO 14, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.60876146864,",-58.434229294887,,,,G1,1,7,
XI-IATI-IADB-AR-L1279,,,G1,,"Argentina, AV. PTE. JULIO A. ROCA 738, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.61200000933,",-58.376509984199,,,,G1,1,7,
XI-IATI-IADB-AR-L1273,,,G1,,"Argentina, CALLE 8, ENTRE 45 Y 46, LA PLATA",,,,,es,"-34.902320378325,",-57.968967414157,,,,G1,1,7,
XI-IATI-IADB-AR-L1346,,,G1,,"Argentina, AV. CORRIENTES 1750, PISO 4, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.604459984509,",-58.391419965025,,,,G1,1,7,
XI-IATI-IADB-AR-L1346,,,G1,,"Argentina, HIP LITO YRIGOYEN 250, PISO 11, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1252,,,G1,,"Argentina, GODOY CRUZ 2320, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.582561912841,",-58.42874372808,,,,G1,1,7,
XI-IATI-IADB-AR-L1036,,,G1,,"Argentina,Entre R os",,,,,es,"-31.6252842,",-59.3539578,,,,G1,1,7,
XI-IATI-IADB-AR-L1036,,,G1,,"Argentina,Paran ",,,,,es,"-25.416914,",-54.6286437,,,,G1,1,7,
XI-IATI-IADB-AR-L1157,,,G1,,"Argentina,Mendoza",,,,,es,"-34.7870930499999,",-68.4381867731229,,,,G1,1,7,
XI-IATI-IADB-AR-L1067,,,G1,,"Argentina, AV. PASEO COLON 982, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.619140007821,",-58.368450029925,,,,G1,1,7,
XI-IATI-IADB-AR-L1258,,,G1,,"Argentina,Belgrano",,,,,es,"-34.5613076,",-58.4565454,,,,G1,1,7,
XI-IATI-IADB-AR-L1130,,,G1,,"Argentina,San Juan",,,,,es,"-30.7054363,",-69.1988222,,,,G1,1,7,
XI-IATI-IADB-AR-L1288,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.6037181,",-58.38153,,,,G1,1,7,
XI-IATI-IADB-AR-L1156,,,G1,,"Argentina, PIZZURNO 935, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.59814998067,",-58.391192942646,,,,G1,1,7,
XI-IATI-IADB-AR-L1326,,,G1,,"Argentina, AV NUEVE DE JULIO, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.618080173694,",-58.38066999461,,,,G1,1,7,
XI-IATI-IADB-AR-L1092,,,G1,,"Argentina,Misiones",,,,,es,"-26.737224,",-54.4315257,,,,G1,1,7,
XI-IATI-IADB-AR-L1304,,,G1,,"Argentina,Federal",,,,,es,"-51.5967428,",-72.22151246,,,,G1,1,7,
XI-IATI-IADB-AR-L1334,,,G1,,"Argentina,San Juan",,,,,es,"-30.7054363,",-69.1988222,,,,G1,1,7,
XI-IATI-IADB-AR-L1357,,,G1,,"Argentina,Capital",,,,,es,"-31.5333508,",-68.5384850789317,,,,G1,1,7,
XI-IATI-IADB-AR-L1336,,,G1,,"Argentina, SUIPACHA 1111, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.594960019269,",-58.379910019403,,,,G1,1,7,
XI-IATI-IADB-AR-L1312,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.6037181,",-58.38153,,,,G1,1,7,
XI-IATI-IADB-AR-L1136,,,G1,,"Argentina, HIP LITO YRIGOYEN 250, PISO 11, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1136,,,G1,,"Argentina, 25 DE MAYO 101, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.606320012643,",-58.370839961977,,,,G1,1,7,
XI-IATI-IADB-AR-L1293,,,G1,,"Argentina,Mendoza",,,,,es,"-34.7870930499999,",-68.4381867731229,,,,G1,1,7,
XI-IATI-IADB-AR-L1162,,,G1,,"Argentina, AV. CORRIENTES 1750, PISO 4, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.604459984509,",-58.391419965025,,,,G1,1,7,
XI-IATI-IADB-AR-L1074,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.6075682,",-58.4370894,,,,G1,1,7,
XI-IATI-IADB-AR-L1251,,,G1,,"Argentina, AV. PRES. JULIO A. ROCA 651, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.610980015533,",-58.37571001536,,,,G1,1,7,
XI-IATI-IADB-AR-L1022,,,G1,,"Argentina,San Juan",,,,,es,"-30.7054363,",-69.1988222,,,,G1,1,7,
XI-IATI-IADB-AR-L1118,,,G1,,"Argentina,Federal",,,,,es,"-51.5967428,",-72.22151246,,,,G1,1,7,
XI-IATI-IADB-AR-L1340,,,G1,,"Argentina, CALLE 8, ENTRE 45 Y 46, LA PLATA",,,,,es,"-34.902320378325,",-57.968967414157,,,,G1,1,7,
XI-IATI-IADB-AR-L1268,,,G1,,"Argentina,Buenos Aires",,,,,es,"-34.8995978,",-60.0236515,,,,G1,1,7,
XI-IATI-IADB-AR-L1158,,,G1,,"Argentina, 25 DE MAYO 101, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.606320012643,",-58.370839961977,,,,G1,1,7,
XI-IATI-IADB-AR-L1158,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 12, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1285,,,G1,,"Argentina,Federal",,,,,es,"-51.5947901,",-72.2199787,,,,G1,1,7,
XI-IATI-IADB-AR-L1332,,,G1,,"Argentina,Federal",,,,,es,"-51.5947901,",-72.2199787,,,,G1,1,7,
XI-IATI-IADB-AR-L1309,,,G1,,"Argentina, BALCARCE 50, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60834075089,",-58.370874410478,,,,G1,1,7,
XI-IATI-IADB-AR-L1309,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 12, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1309,,,G1,,"Argentina, AV 9 DE JULIO 1925 PISO 14, CIUDAD AUTONOMA DE BUENOS AIRES",,,,,es,"-34.60876146864,",-58.434229294887,,,,G1,1,7,
XI-IATI-IADB-AR-L1309,,,G1,,"Argentina, YRIGOYEN HIPOLITO 250, BUENOS AIRES",,,,,es,"-34.814599996812,",-58.465239973024,,,,G1,1,7,
XI-IATI-IADB-AR-L1309,,,G1,,"Argentina, PIZZURNO 935, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.59814998067,",-58.391192942646,,,,G1,1,7,
XI-IATI-IADB-AR-L1309,,,G1,,"Argentina, AV. HIP LITO YRIGOYEN 250, PISO 5, CIUDAD AUT NOMA DE BUENOS AIRES",,,,,es,"-34.60890000435,",-58.370220036418,,,,G1,1,7,
XI-IATI-IADB-AR-L1199,,,G1,,"Argentina,Monte",,,,,es,"-35.4366828,",-58.8175325,,,,G1,1,7,
