activity_identifier,sector_code,sector_name,vocabulary,vocabulary_uri,percentage
XM-DAC-928-AR-2024-25-01.001.AM01.ARG04,12281,,1,,15.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG05,12110,,1,,20.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG05,12281,,1,,75.0000000000
XM-DAC-928-AR-2024-25-01.001.AM01.ARG05,13020,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.002.AM01.ARG01,12110,,1,,85.0000000000
XM-DAC-928-AR-2024-25-01.002.AM01.ARG01,12281,,1,,15.0000000000
XM-DAC-928-AR-2024-25-01.002.AM01.ARG02,12110,,1,,100.0000000000
XM-DAC-928-AR-2024-25-01.002.AM01.ARG03,12110,,1,,70.0000000000
XM-DAC-928-AR-2024-25-01.002.AM01.ARG03,12262,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.002.AM01.ARG03,12281,,1,,10.0000000000
XM-DAC-928-AR-2024-25-01.002.AM01.ARG03,12350,,1,,10.0000000000
XM-DAC-928-AR-2024-25-01.002.AM01.ARG03,13040,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG01,12110,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG01,12220,,1,,85.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG01,12250,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG01,12281,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG02,12110,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG02,12220,,1,,35.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG02,12250,,1,,30.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG02,12262,,1,,25.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG02,13040,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG03,12220,,1,,100.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG04,12110,,1,,20.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG04,12220,,1,,50.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG04,12250,,1,,15.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG04,12263,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG04,12350,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG04,13040,,1,,5.0000000000
XM-DAC-928-AR-2024-25-01.003.AM01.ARG05,12220,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.001.AM01.ARG01,74020,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.001.AM01.ARG02,74020,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.001.AM01.ARG03,74020,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.002.AM01.ARG01,12250,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.002.AM01.ARG02,12250,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.002.AM01.ARG03,12250,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.003.AM01.ARG01,74020,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.003.AM01.ARG02,72010,,1,,100.0000000000
XM-DAC-928-AR-2024-25-02.003.AM01.ARG03,72011,,1,,100.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,12240,,1,,25.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,12310,,1,,10.0000000000
XM-DAC-928-AR-2024-25-03.001.AM01.ARG01,12350,,1,,10.0000000000
