activity_identifier,url,format,title,description,category_code,language_code,document_date
XM-DAC-928-AR-2018-19-01.001.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.001.AM01.ARG01,http://open.who.int/2018-19/country-programme/ARG/01.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-01.001.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.001.AM01.ARG02,http://open.who.int/2018-19/country-programme/ARG/01.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-01.002.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.002.AM01.ARG01,http://open.who.int/2018-19/country-programme/ARG/01.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-01.002.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.002.AM01.ARG02,http://open.who.int/2018-19/country-programme/ARG/01.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-01.003.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.003.AM01.ARG01,http://open.who.int/2018-19/country-programme/ARG/01.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-01.003.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.003.AM01.ARG02,http://open.who.int/2018-19/country-programme/ARG/01.003,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-01.004.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.004.AM01.ARG01,http://open.who.int/2018-19/country-programme/ARG/01.004,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-01.005.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.005.AM01.ARG02,http://open.who.int/2018-19/country-programme/ARG/01.005,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-01.006.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-01.006.AM01.ARG02,http://open.who.int/2018-19/country-programme/ARG/01.006,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-02.001.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-02.001.AM01.ARG01,http://open.who.int/2018-19/country-programme/ARG/02.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-02.001.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-02.001.AM01.ARG02,http://open.who.int/2018-19/country-programme/ARG/02.001,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-02.002.AM01.ARG02,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-02.002.AM01.ARG02,http://open.who.int/2018-19/country-programme/ARG/02.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-02.002.AM01.ARG03,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-02.002.AM01.ARG03,http://open.who.int/2018-19/country-programme/ARG/02.002,text/html,Budget,,A05,en,
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,http://iris.paho.org/xmlui/handle/123456789/34360,application/pdf,Country Cooperation Strategy- Argentina (2017-2021),,B03,es,
XM-DAC-928-AR-2018-19-02.003.AM01.ARG01,http://open.who.int/2018-19/country-programme/ARG/02.003,text/html,Budget,,A05,en,
